technology,hour,value
Temperature,804,7.5
Temperature,805,7.4
Temperature,806,7.3
Temperature,807,7.3
Temperature,808,7.3
Temperature,809,7.5
Temperature,810,8.1
Temperature,811,8.3
Temperature,812,7.8
Temperature,813,7.9
Temperature,814,7.4
Temperature,815,6.9
Temperature,816,6.6
Temperature,817,6.4
Temperature,818,6.2
Temperature,819,5.7
Temperature,820,4.3
Temperature,821,4.8
Temperature,822,3.4
Temperature,823,2.5
Temperature,824,1.6
Temperature,825,3.6
Temperature,826,3.6
Temperature,827,3.9
Temperature,828,3.9
Temperature,829,4.3
Temperature,830,4.0
Temperature,831,4.3
Temperature,832,3.0
Temperature,833,0.4
Temperature,834,-1.2
Temperature,835,-2.0
Temperature,836,-2.5
Temperature,837,-2.7
Temperature,838,-3.5
Temperature,839,-3.9
Temperature,840,-4.5
Temperature,841,-4.8
Temperature,842,-5.2
Temperature,843,-5.7
Temperature,844,-6.2
Temperature,845,-6.4
Temperature,846,-6.5
Temperature,847,-5.6
Temperature,848,-3.9
Temperature,849,-2.7
Temperature,850,-1.5
Temperature,851,-0.2
Temperature,852,0.3
Temperature,853,1.0
Temperature,854,0.8
Temperature,855,0.3
Temperature,856,0.3
Temperature,857,0.3
Temperature,858,0.3
Temperature,859,0.4
Temperature,860,0.0
Temperature,861,-0.1
Temperature,862,-1.4
Temperature,863,-1.7
Temperature,864,-3.5
Temperature,865,-4.1
Temperature,866,-5.2
Temperature,867,-4.5
Temperature,868,-3.6
Temperature,869,-3.3
Temperature,870,-2.9
Temperature,871,-2.7
Temperature,872,-2.3
Temperature,873,-1.6
Temperature,874,-0.8
Temperature,875,0.2
Temperature,876,1.1
Temperature,877,1.4
Temperature,878,1.9
Temperature,879,1.6
Temperature,880,1.2
Temperature,881,0.9
Temperature,882,0.7
Temperature,883,0.8
Temperature,884,0.7
Temperature,885,0.7
Temperature,886,-0.4
Temperature,887,-1.0
Temperature,888,-1.7
Temperature,889,-2.7
Temperature,890,-3.0
Temperature,891,-3.9
Temperature,892,-5.6
Temperature,893,-6.7
Temperature,894,-7.1
Temperature,895,-8.0
Temperature,896,-4.3
Temperature,897,-2.1
Temperature,898,-0.3
Temperature,899,1.1
Temperature,900,2.0
Temperature,901,2.5
Temperature,902,2.7
Temperature,903,2.8
Temperature,904,1.9
Temperature,905,-0.9
Temperature,906,-2.0
Temperature,907,-3.1
Temperature,908,-4.3
Temperature,909,-4.9
Temperature,910,-5.7
Temperature,911,-6.0
Temperature,912,-6.9
Temperature,913,-7.8
Temperature,914,-7.7
Temperature,915,-8.8
Temperature,916,-9.1
Temperature,917,-9.4
Temperature,918,-9.4
Temperature,919,-10.0
Temperature,920,-7.1
Temperature,921,-3.4
Temperature,922,-0.7
Temperature,923,2.3
Temperature,924,3.2
Temperature,925,3.6
Temperature,926,4.0
Temperature,927,3.6
Temperature,928,2.2
Temperature,929,0.7
Temperature,930,-0.9
Temperature,931,-1.1
Temperature,932,-1.5
Temperature,933,-2.6
Temperature,934,-4.2
Temperature,935,-5.4
Temperature,936,-6.0
Temperature,937,-7.2
Temperature,938,-7.6
Temperature,939,-8.3
Temperature,940,-9.0
Temperature,941,-9.7
Temperature,942,-10.2
Temperature,943,-10.2
Temperature,944,-7.2
Temperature,945,-3.9
Temperature,946,-1.5
Temperature,947,-0.2
Temperature,948,0.3
Temperature,949,1.3
Temperature,950,2.1
Temperature,951,1.9
Temperature,952,1.1
Temperature,953,-2.0
Temperature,954,-2.5
Temperature,955,-3.6
Temperature,956,-4.5
Temperature,957,-5.6
Temperature,958,-6.0
Temperature,959,-6.6
Temperature,960,-7.5
Temperature,961,-7.3
Temperature,962,-8.4
Temperature,963,-8.3
Temperature,964,-8.7
Temperature,965,-8.9
Temperature,966,-9.0
Temperature,967,-7.3
Temperature,968,-4.9
Temperature,969,-3.7
Temperature,970,-2.8
Temperature,971,-1.9
Temperature,972,-1.3
Temperature,973,-0.5
Temperature,974,0.4
Temperature,975,0.9
Temperature,976,0.7
Temperature,977,-0.9
Temperature,978,-1.6
Temperature,979,-1.2
Temperature,980,-3.3
Temperature,981,-4.5
Temperature,982,-4.7
Temperature,983,-5.2
Temperature,984,-4.3
Temperature,985,-4.1
Temperature,986,-3.2
Temperature,987,-2.2
Temperature,988,-1.5
Temperature,989,-1.0
Temperature,990,-1.5
Temperature,991,-1.7
Temperature,992,-0.1
Temperature,993,0.9
Temperature,994,2.2
Temperature,995,3.5
Temperature,996,4.8
Temperature,997,5.0
Temperature,998,5.0
Temperature,999,5.1
Temperature,1000,5.1
Temperature,1001,4.9
Temperature,1002,2.7
Temperature,1003,2.1
Temperature,1004,2.0
Temperature,1005,1.6
Temperature,1006,1.4
Temperature,1007,0.8
Temperature,1008,0.5
Temperature,1009,0.3
Temperature,1010,0.2
Temperature,1011,0.7
Temperature,1012,1.2
Temperature,1013,1.1
