Hour,fuels,value
1874,Coal,0.0
1875,Coal,0.0
1876,Coal,0.0
1877,Coal,0.0
1878,Coal,0.0
1879,Coal,0.0
1880,Coal,0.0
1881,Coal,0.0
1882,Coal,0.0
1883,Coal,0.0
1884,Coal,0.0
1885,Coal,0.0
1886,Coal,0.0
1887,Coal,0.0
1888,Coal,0.0
1889,Coal,0.0
1890,Coal,0.0
1891,Coal,0.0
1892,Coal,0.0
1893,Coal,0.0
1894,Coal,0.0
1895,Coal,0.0
1896,Coal,0.0
1897,Coal,0.0
1898,Coal,0.0
1899,Coal,0.0
1900,Coal,0.0
1901,Coal,0.0
1902,Coal,0.0
1903,Coal,0.0
1904,Coal,0.0
1905,Coal,0.0
1906,Coal,0.0
1907,Coal,0.0
1908,Coal,0.0
1909,Coal,0.0
1910,Coal,0.0
1911,Coal,0.0
1912,Coal,0.0
1913,Coal,0.0
1914,Coal,0.0
1915,Coal,0.0
1916,Coal,0.0
1917,Coal,0.0
1918,Coal,0.0
1919,Coal,0.0
1920,Coal,0.0
1921,Coal,0.0
1922,Coal,0.0
1923,Coal,0.0
1924,Coal,0.0
1925,Coal,0.0
1926,Coal,0.0
1927,Coal,0.0
1928,Coal,0.0
1929,Coal,0.0
1930,Coal,0.0
1931,Coal,0.0
1932,Coal,0.0
1933,Coal,0.0
1934,Coal,0.0
1935,Coal,0.0
1936,Coal,0.0
1937,Coal,0.0
1938,Coal,0.0
1939,Coal,0.0
1940,Coal,0.0
1941,Coal,0.0
1942,Coal,0.0
1943,Coal,0.0
1944,Coal,0.0
1945,Coal,0.0
1946,Coal,0.0
1947,Coal,0.0
1948,Coal,0.0
1949,Coal,0.0
1950,Coal,0.0
1951,Coal,0.0
1952,Coal,0.0
1953,Coal,0.0
1954,Coal,0.0
1955,Coal,0.0
1956,Coal,0.0
1957,Coal,0.0
1958,Coal,0.0
1959,Coal,0.0
1960,Coal,0.0
1961,Coal,0.0
1962,Coal,0.0
1963,Coal,0.0
1964,Coal,0.0
1965,Coal,0.0
1966,Coal,0.0
1967,Coal,0.0
1968,Coal,0.0
1969,Coal,0.0
1970,Coal,0.0
1971,Coal,0.0
1972,Coal,0.0
1973,Coal,0.0
1974,Coal,0.0
1975,Coal,0.0
1976,Coal,0.0
1977,Coal,0.0
1978,Coal,0.0
1979,Coal,0.0
1980,Coal,0.0
1981,Coal,0.0
1982,Coal,0.0
1983,Coal,0.0
1984,Coal,0.0
1985,Coal,0.0
1986,Coal,0.0
1987,Coal,0.0
1988,Coal,0.0
1989,Coal,0.0
1990,Coal,0.0
1991,Coal,0.0
1992,Coal,0.0
1993,Coal,0.0
1994,Coal,0.0
1995,Coal,0.0
1996,Coal,0.0
1997,Coal,0.0
1998,Coal,0.0
1999,Coal,0.0
2000,Coal,0.0
2001,Coal,0.0
2002,Coal,0.0
2003,Coal,0.0
2004,Coal,0.0
2005,Coal,0.0
2006,Coal,0.0
2007,Coal,0.0
2008,Coal,0.0
2009,Coal,0.0
2010,Coal,0.0
2011,Coal,0.0
2012,Coal,0.0
2013,Coal,0.0
2014,Coal,0.0
