Hour,Technology,Fuel,value
116,GasPowerPlant,Power,0.0
117,GasPowerPlant,Power,0.0
118,GasPowerPlant,Power,0.0
119,GasPowerPlant,Power,0.0
120,GasPowerPlant,Power,0.0
1,CoalCHPPlant,Power,0.0
2,CoalCHPPlant,Power,3.54365507999999
3,CoalCHPPlant,Power,0.0
4,CoalCHPPlant,Power,0.0
5,CoalCHPPlant,Power,0.0
6,CoalCHPPlant,Power,0.0
7,CoalCHPPlant,Power,0.0
8,CoalCHPPlant,Power,0.0
9,CoalCHPPlant,Power,0.0
10,CoalCHPPlant,Power,0.0
11,CoalCHPPlant,Power,0.0
12,CoalCHPPlant,Power,0.0
13,CoalCHPPlant,Power,0.0
14,CoalCHPPlant,Power,0.0
15,CoalCHPPlant,Power,0.0
16,CoalCHPPlant,Power,0.0
17,CoalCHPPlant,Power,0.0
18,CoalCHPPlant,Power,0.0
19,CoalCHPPlant,Power,0.0
20,CoalCHPPlant,Power,0.0
21,CoalCHPPlant,Power,0.0
22,CoalCHPPlant,Power,0.0
23,CoalCHPPlant,Power,0.0
24,CoalCHPPlant,Power,0.0
25,CoalCHPPlant,Power,0.0
26,CoalCHPPlant,Power,0.0
27,CoalCHPPlant,Power,0.0
28,CoalCHPPlant,Power,0.0
29,CoalCHPPlant,Power,0.0
30,CoalCHPPlant,Power,0.0
31,CoalCHPPlant,Power,0.0
32,CoalCHPPlant,Power,0.0
33,CoalCHPPlant,Power,0.0
34,CoalCHPPlant,Power,0.0
35,CoalCHPPlant,Power,0.0
36,CoalCHPPlant,Power,0.0
37,CoalCHPPlant,Power,0.0
38,CoalCHPPlant,Power,0.0
39,CoalCHPPlant,Power,0.0
40,CoalCHPPlant,Power,0.0
41,CoalCHPPlant,Power,0.0
42,CoalCHPPlant,Power,0.0
43,CoalCHPPlant,Power,0.0
44,CoalCHPPlant,Power,0.0
45,CoalCHPPlant,Power,0.0
46,CoalCHPPlant,Power,0.0
47,CoalCHPPlant,Power,0.0
48,CoalCHPPlant,Power,0.0
49,CoalCHPPlant,Power,0.0
50,CoalCHPPlant,Power,0.0
51,CoalCHPPlant,Power,0.0
52,CoalCHPPlant,Power,0.0
53,CoalCHPPlant,Power,0.0
54,CoalCHPPlant,Power,0.0
55,CoalCHPPlant,Power,0.0
56,CoalCHPPlant,Power,0.0
57,CoalCHPPlant,Power,0.0
58,CoalCHPPlant,Power,0.0
59,CoalCHPPlant,Power,0.0
60,CoalCHPPlant,Power,0.0
61,CoalCHPPlant,Power,0.0
62,CoalCHPPlant,Power,0.0
63,CoalCHPPlant,Power,0.0
64,CoalCHPPlant,Power,0.0
65,CoalCHPPlant,Power,0.0
66,CoalCHPPlant,Power,0.0
67,CoalCHPPlant,Power,0.0
68,CoalCHPPlant,Power,0.0
69,CoalCHPPlant,Power,0.0
70,CoalCHPPlant,Power,0.0
71,CoalCHPPlant,Power,0.0
72,CoalCHPPlant,Power,0.0
73,CoalCHPPlant,Power,0.0
74,CoalCHPPlant,Power,0.0
75,CoalCHPPlant,Power,0.0
76,CoalCHPPlant,Power,0.0
77,CoalCHPPlant,Power,0.0
78,CoalCHPPlant,Power,0.0
79,CoalCHPPlant,Power,0.0
80,CoalCHPPlant,Power,0.0
81,CoalCHPPlant,Power,0.0
82,CoalCHPPlant,Power,0.0
83,CoalCHPPlant,Power,0.0
84,CoalCHPPlant,Power,0.0
85,CoalCHPPlant,Power,0.0
86,CoalCHPPlant,Power,0.0
87,CoalCHPPlant,Power,0.0
88,CoalCHPPlant,Power,0.0
89,CoalCHPPlant,Power,0.0
90,CoalCHPPlant,Power,0.0
91,CoalCHPPlant,Power,0.0
92,CoalCHPPlant,Power,0.0
93,CoalCHPPlant,Power,0.0
94,CoalCHPPlant,Power,0.0
95,CoalCHPPlant,Power,0.0
96,CoalCHPPlant,Power,0.0
97,CoalCHPPlant,Power,0.0
98,CoalCHPPlant,Power,0.0
99,CoalCHPPlant,Power,0.0
100,CoalCHPPlant,Power,0.0
101,CoalCHPPlant,Power,0.0
102,CoalCHPPlant,Power,0.0
103,CoalCHPPlant,Power,0.0
104,CoalCHPPlant,Power,0.0
105,CoalCHPPlant,Power,0.0
106,CoalCHPPlant,Power,0.0
107,CoalCHPPlant,Power,0.0
108,CoalCHPPlant,Power,0.0
109,CoalCHPPlant,Power,0.0
110,CoalCHPPlant,Power,0.0
111,CoalCHPPlant,Power,0.0
112,CoalCHPPlant,Power,0.0
113,CoalCHPPlant,Power,0.0
114,CoalCHPPlant,Power,0.0
115,CoalCHPPlant,Power,0.0
116,CoalCHPPlant,Power,0.0
117,CoalCHPPlant,Power,0.0
118,CoalCHPPlant,Power,0.0
119,CoalCHPPlant,Power,0.0
120,CoalCHPPlant,Power,0.0
1,GasCHPPlant,Power,0.0
2,GasCHPPlant,Power,0.0
3,GasCHPPlant,Power,0.0
4,GasCHPPlant,Power,0.0
5,GasCHPPlant,Power,0.0
6,GasCHPPlant,Power,0.0
7,GasCHPPlant,Power,0.0
8,GasCHPPlant,Power,0.0
9,GasCHPPlant,Power,0.0
10,GasCHPPlant,Power,0.0
11,GasCHPPlant,Power,0.0
12,GasCHPPlant,Power,0.0
13,GasCHPPlant,Power,0.0
14,GasCHPPlant,Power,0.0
15,GasCHPPlant,Power,0.0
16,GasCHPPlant,Power,0.0
17,GasCHPPlant,Power,0.0
18,GasCHPPlant,Power,0.0
19,GasCHPPlant,Power,0.0
20,GasCHPPlant,Power,0.0
21,GasCHPPlant,Power,0.0
22,GasCHPPlant,Power,0.0
23,GasCHPPlant,Power,0.0
24,GasCHPPlant,Power,0.0
25,GasCHPPlant,Power,0.0
26,GasCHPPlant,Power,0.0
27,GasCHPPlant,Power,0.0
28,GasCHPPlant,Power,0.0
29,GasCHPPlant,Power,0.0
30,GasCHPPlant,Power,0.0
31,GasCHPPlant,Power,0.0
32,GasCHPPlant,Power,0.0
33,GasCHPPlant,Power,0.0
34,GasCHPPlant,Power,0.0
35,GasCHPPlant,Power,0.0
36,GasCHPPlant,Power,0.0
37,GasCHPPlant,Power,0.0
38,GasCHPPlant,Power,0.0
39,GasCHPPlant,Power,0.0
40,GasCHPPlant,Power,0.0
41,GasCHPPlant,Power,0.0
42,GasCHPPlant,Power,0.0
43,GasCHPPlant,Power,0.0
44,GasCHPPlant,Power,0.0
45,GasCHPPlant,Power,0.0
46,GasCHPPlant,Power,0.0
47,GasCHPPlant,Power,0.0
48,GasCHPPlant,Power,0.0
49,GasCHPPlant,Power,0.0
50,GasCHPPlant,Power,0.0
51,GasCHPPlant,Power,0.0
52,GasCHPPlant,Power,0.0
53,GasCHPPlant,Power,0.0
54,GasCHPPlant,Power,0.0
55,GasCHPPlant,Power,0.0
56,GasCHPPlant,Power,0.0
